event_id,index,farm_id,cow_id,ref_event_datetime,breed,birth_date,tv_serial,ax_serial,ax_days_before_calving,ax_id_assignment,season,country,cattle_mode,rank,event_type
FR0202482619_2015-07-12,215,FR-02440033,FR0202482619,2015-07-12 22:34:33,66,2013-03-03T00:00:00,01AFP,01JW9,16,146,ete,FR,laitier,genisse,tv_expulsion
FR0202482588_2015-07-08,212,FR-02440033,FR0202482588,2015-07-08 16:37:41,66,2012-10-07T00:00:00,01AFK,01JW1,12,142,ete,FR,laitier,genisse,tv_expulsion
FR0202482580_2015-07-03,211,FR-02440033,FR0202482580,2015-07-03 20:16:21,66,2012-09-22T00:00:00,01AFE,01JW8,7,147,ete,FR,laitier,genisse,tv_expulsion
FR0200493341_2015-05-24,183,FR-02440033,FR0200493341,2015-05-24 02:01:39,66,2013-02-14T00:00:00,01AFF,01JWQ,17,178,printemps,FR,laitier,genisse,tv_expulsion
FR5357661741_2015-05-16,705,FR-53252095,FR5357661741,2015-05-16 06:21:00,66,2009-12-30T00:00:00,00ZPU,00DSO,310,347,printemps,FR,laitier,vache,tv_expulsion
FR0200493320_2015-05-15,181,FR-02440033,FR0200493320,2015-05-15 11:31:30,66,2015-02-14T00:00:00,01AFG,01JWM,8,176,printemps,FR,laitier,genisse,tv_expulsion
IE371442072692_2015-04-27,1073,IE-Y2082869,IE371442072692,2015-04-27 03:47:16,34,2011-04-19T00:00:00,015Z0,01LND,16,58,printemps,IE,allaitant,vache,tv_expulsion
FR3528402976_2014-11-28,671,FR-53201191,FR3528402976,2014-11-28 02:45:00,66,2011-05-01T00:00:00,017YI,00VU8,322,556,automne,FR,laitier,vache,tv_expulsion
FR5641592563_2014-08-27,745,FR-56212010,FR5641592563,2014-08-27 13:23:00,66,2009-05-28T00:00:00,016SR,01D32,51,32,ete,FR,laitier,vache,tv_expulsion
FR2249892627_2014-08-13,303,FR-22296003,FR2249892627,2014-08-13 16:34:44,66,2011-07-12T00:00:00,00ZBO,00QGN,29,386,ete,FR,laitier,vache,tv_expulsion
FR5363797411_2014-06-23,677,FR-53201191,FR5363797411,2014-06-23 01:38:00,66,2010-06-01T00:00:00,010K4,00VVA,501,273,ete,FR,laitier,vache,tv_expulsion
DE0536853669_2014-05-28,83,DE-057740125012,DE0536853669,2014-05-28 01:34:00,66,2011-03-22T00:00:00,00WBK,017SJ,8,267,printemps,DE,laitier,vache,tv_expulsion
FR5363797400_2014-05-14,676,FR-53201191,FR5363797400,2014-05-14 07:45:34,66,2010-04-17T00:00:00,010K5,00VTH,509,307,printemps,FR,laitier,vache,tv_expulsion
FR5363797370_2014-05-04,674,FR-53201191,FR5363797370,2014-05-04 09:21:00,66,2009-08-08T00:00:00,010KA,00NUM,744,167,printemps,FR,laitier,vache,tv_expulsion
FR5363797503_2014-04-16,681,FR-53201191,FR5363797503,2014-04-16 17:12:00,66,2010-12-20T00:00:00,010KB,00NV0,316,435,printemps,FR,laitier,vache,tv_expulsion
FR5363671763_2014-04-14,672,FR-53201191,FR5363671763,2014-04-14 04:35:42,66,2007-10-24T00:00:00,010KA,00VVG,479,279,printemps,FR,laitier,vache,tv_expulsion
FR5363797414_2014-04-10,678,FR-53201191,FR5363797414,2014-04-10 00:57:52,66,2010-06-20T00:00:00,010KC,00NUL,594,205,printemps,FR,laitier,vache,tv_expulsion
FR5363797388_2014-03-26,675,FR-53201191,FR5363797388,2014-03-26 11:33:00,66,2009-12-05T00:00:00,010K8,00VUN,412,251,printemps,FR,laitier,vache,tv_expulsion
FR5363797417_2014-03-25,679,FR-53201191,FR5363797417,2014-03-25 19:41:31,66,2010-07-09T00:00:00,010K6,00VTD,459,303,printemps,FR,laitier,vache,tv_expulsion
FR5363797494_2014-03-23,680,FR-53201191,FR5363797494,2014-03-23 17:11:00,66,2010-10-21T00:00:00,010KB,00VU6,409,237,printemps,FR,laitier,vache,tv_expulsion
FR2836805535_2014-03-20,670,FR-53201191,FR2836805535,2014-03-20 09:00:00,66,2010-12-24T00:00:00,010K5,00VUT,288,470,printemps,FR,laitier,vache,tv_expulsion
FR2836805443_2014-03-18,669,FR-53201191,FR2836805443,2014-03-18 12:16:00,66,2010-04-14T00:00:00,010K6,00VU9,404,240,printemps,FR,laitier,vache,tv_expulsion
FR5363797135_2014-03-16,673,FR-53201191,FR5363797135,2014-03-16 06:51:20,66,2007-04-23T00:00:00,010K7,00VVI,447,281,printemps,FR,laitier,vache,tv_expulsion
ES001107721118_2014-03-08,93,ES-270110009901,ES001107721118,2014-03-08 20:57:12,66,2008-08-03T00:00:00,013OZ,017LH,50,15,printemps,ES,laitier,vache,tv_expulsion
ES031107462660_2014-02-22,94,ES-270110009901,ES031107462660,2014-02-22 17:24:19,66,2008-02-12T00:00:00,013OW,017LI,36,49,hiver,ES,laitier,vache,tv_expulsion
IE291033790800_2014-02-14,1072,IE-R1040689,IE291033790800,2014-02-14 20:54:30,66,2011-09-10T00:00:00,013UL,00YYK,338,40,hiver,IE,laitier,genisse,tv_expulsion
IE291033770864_2014-02-11,1071,IE-R1040689,IE291033770864,2014-02-11 16:08:29,66,2012-03-15T00:00:00,013UM,00YYG,335,37,hiver,IE,laitier,genisse,tv_expulsion
IE291033740820_2014-02-08,1070,IE-R1040689,IE291033740820,2014-02-08 00:03:36,66,2012-02-05T00:00:00,013UP,00YXV,332,29,hiver,IE,laitier,genisse,tv_expulsion
IE291033720819_2014-02-07,1069,IE-R1040689,IE291033720819,2014-02-07 05:20:38,66,2012-02-03T00:00:00,013UN,00YXN,331,22,hiver,IE,laitier,genisse,tv_expulsion
LU0098858865_2014-01-30,1097,LU-323030,LU0098858865,2014-01-30 04:06:00,66,2010-02-07T00:00:00,00YZ0,00ZVJ,306,25,hiver,LU,laitier,vache,tv_expulsion
FR5704980597_2014-01-06,789,FR-57750011,FR5704980597,2014-01-06 20:57:31,66,2011-03-04T00:00:00,00SAQ,00NR5,389,54,hiver,FR,laitier,vache,tv_expulsion
LU0098858865_2013-12-31,1096,LU-323030,LU0098858865,2013-12-31 14:51:18,66,2010-02-07T00:00:00,00YZ0,00ZVJ,276,25,hiver,LU,laitier,vache,tv_expulsion
DE1501884954_2013-11-21,89,DE-153630930005,DE1501884954,2013-11-21 09:45:00,66,2010-09-06T00:00:00,00YRQ,00ZJG,59,73,automne,DE,laitier,vache,tv_expulsion
DE1503310357_2013-10-25,90,DE-153630930005,DE1503310357,2013-10-25 13:54:03,66,2011-01-08T00:00:00,00YRS,00ZJJ,32,77,automne,DE,laitier,genisse,tv_expulsion
DE1503334910_2013-10-25,91,DE-153630930005,DE1503334910,2013-10-25 13:38:52,66,2011-02-08T00:00:00,00YRM,014H4,9,98,automne,DE,laitier,genisse,tv_expulsion
LU0298858847_2013-10-09,1099,LU-323030,LU0298858847,2013-10-09 14:02:00,66,2009-09-19T00:00:00,00YZ4,00ZVB,126,88,automne,LU,laitier,vache,tv_expulsion
FR5357661546_2013-08-05,704,FR-53252095,FR5357661546,2013-08-05 07:01:53,66,2006-11-07T00:00:00,00JWC,00DSU,328,159,ete,FR,laitier,vache,tv_expulsion
FR2225951996_2013-07-10,296,FR-22126004,FR2225951996,2013-07-10 06:00:00,66,2010-10-01T00:00:00,00BY4,00C19,87,289,ete,FR,laitier,genisse,tv_expulsion
FR8523077401_2013-07-07,966,FR-85046032,FR8523077401,2013-07-07 00:30:00,66,2010-12-15T00:00:00,00VAO,00T9H,9,71,ete,FR,laitier,genisse,tv_expulsion
FR5626082487_2013-06-15,734,FR-56101597,FR5626082487,2013-06-15 01:15:00,66,2010-10-22T00:00:00,00UJ7,00X06,141,107,ete,FR,laitier,genisse,tv_expulsion
FR6112363352_2013-06-12,851,FR-61200016,FR6112363352,2013-06-12 21:30:00,66,2010-10-21T00:00:00,00PU6,00FE9,42,108,ete,FR,laitier,genisse,tv_expulsion
FR2249892583_2013-06-10,302,FR-22296003,FR2249892583,2013-06-10 08:15:26,66,2011-03-02T00:00:00,00L7U,00QGO,13,161,ete,FR,laitier,genisse,tv_expulsion
FR6112363161_2013-05-18,850,FR-61200016,FR6112363161,2013-05-18 14:15:00,66,2007-12-16T00:00:00,00PU0,00FDT,17,110,printemps,FR,laitier,vache,tv_expulsion
FR3545595969_2013-05-01,404,FR-35335137,FR3545595969,2013-05-01 22:30:00,38,2010-02-16T00:00:00,00TFN,00P35,207,41,printemps,FR,allaitant,vache,tv_expulsion
